country_code,year,population
THA,2006,66567687
THA,2007,67102394
THA,2008,67619830
THA,2009,68121080
THA,2010,68579447
THA,2011,69007208
THA,2012,69436098
THA,2013,69845114
THA,2014,70216367
THA,2015,70540795
THA,2016,70859841
THA,2017,71160187
THA,2018,71376079
THA,2019,71522271
THA,2020,71641484
THA,2021,71727332
THA,2022,71735329
THA,2023,71702435
THA,2024,71668011
TLS,2000,745088
TLS,2001,812249
TLS,2002,879159
TLS,2003,916878
TLS,2004,929074
TLS,2005,948311
TLS,2006,976597
TLS,2007,1004889
TLS,2008,1032429
TLS,2009,1058782
TLS,2010,1084679
TLS,2011,1110207
TLS,2012,1134885
TLS,2013,1158695
TLS,2014,1181903
TLS,2015,1205131
TLS,2016,1228312
TLS,2017,1251703
TLS,2018,1275959
TLS,2019,1300945
TLS,2020,1326053
TLS,2021,1350139
TLS,2022,1369295
TLS,2023,1384286
TLS,2024,1400638
TON,2000,102677
TON,2001,103288
TON,2002,103874
TON,2003,104464
TON,2004,105071
TON,2005,105671
TON,2006,106253
TON,2007,106726
TON,2008,107020
TON,2009,107203
TON,2010,107400
TON,2011,107570
TON,2012,107460
TON,2013,107078
TON,2014,106609
TON,2015,106095
TON,2016,105524
TON,2017,105356
TON,2018,105567
TON,2019,105669
TON,2020,105704
TON,2021,105490
TON,2022,105042
TON,2023,104597
TON,2024,104175
TUV,2000,9544
TUV,2001,9586
TUV,2002,9623
TUV,2003,9695
TUV,2004,9816
TUV,2005,9940
TUV,2006,10056
TUV,2007,10182
TUV,2008,10321
TUV,2009,10461
TUV,2010,10614
TUV,2011,10780
TUV,2012,10934
TUV,2013,11001
TUV,2014,10984
TUV,2015,10963
TUV,2016,10930
TUV,2017,10869
TUV,2018,10751
TUV,2019,10581
TUV,2020,10399
TUV,2021,10194
TUV,2022,9992
TUV,2023,9816
TUV,2024,9646
VNM,2000,77154011
VNM,2001,77969361
VNM,2002,78772224
VNM,2003,79563777
VNM,2004,80338971
VNM,2005,81088313
VNM,2006,82167897
VNM,2007,83633375
VNM,2008,85175788
VNM,2009,86460018
VNM,2010,87455152
VNM,2011,88468314
VNM,2012,89510356
VNM,2013,90573104
VNM,2014,91679578
VNM,2015,92823254
VNM,2016,94000117
VNM,2017,95176977
VNM,2018,96237319
VNM,2019,97173776
VNM,2020,98079191
VNM,2021,98935098
VNM,2022,99680655
VNM,2023,100352192
VNM,2024,100987686
VUT,2000,186281
VUT,2001,191031
VUT,2002,195863
VUT,2003,200746
VUT,2004,205711
VUT,2005,210760
VUT,2006,215923
VUT,2007,221276
VUT,2008,226896
VUT,2009,232731
VUT,2010,238248
VUT,2011,243474
VUT,2012,248883
VUT,2013,254482
VUT,2014,260240
VUT,2015,266101
VUT,2016,272087
VUT,2017,278507
VUT,2018,285259
VUT,2019,291985
VUT,2020,298858
VUT,2021,305868
VUT,2022,313046
VUT,2023,320409
VUT,2024,327777
WSM,2000,181685
WSM,2001,183166
WSM,2002,184471
WSM,2003,185430
WSM,2004,186249
WSM,2005,186978
WSM,2006,187709
WSM,2007,188753
WSM,2008,190107
WSM,2009,191513
WSM,2010,193023
WSM,2011,194713
WSM,2012,196498
WSM,2013,198268
WSM,2014,200037
WSM,2015,201782
WSM,2016,203499
WSM,2017,205415
WSM,2018,207582
WSM,2019,209780
WSM,2020,211944
WSM,2021,213779
WSM,2022,215261
WSM,2023,216663
WSM,2024,218019
